card_id,qr_identity,candidate_uk_qr_url,candidate_au_qr_url,current_mapped_year,authoritative_observed_year,year_verification_confidence,physical_print_observed,discrepancy_status,official_uk_sku,official_uk_spotify_track_id,official_au_sku,official_au_spotify_track_id,playlist_spotify_track_id,playlist_title,playlist_artist,identity_confidence,source_evidence,non_authoritative_bopster_year,non_authoritative_musicbrainz_year,screening_flags
22,00022,https://hitstergame.com/uk/aaaa0005/00022,https://hitstergame.com/au/aaah0001/00022,2013,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,2pgbGOb00WrlXY3ZRFKn7v,aaah0001,2pgbGOb00WrlXY3ZRFKn7v,2pgbGOb00WrlXY3ZRFKn7v,Blurred Lines,Robin Thicke,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00022; ordered title reference: https://open.spotify.com/track/2pgbGOb00WrlXY3ZRFKn7v; printed-year evidence: not available,2020,2013,community_bopster_year_differs
23,00023,https://hitstergame.com/uk/aaaa0005/00023,https://hitstergame.com/au/aaah0001/00023,1962,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,5xzdDMhFYiuUONB0Mha9VS,aaah0001,5xzdDMhFYiuUONB0Mha9VS,5xzdDMhFYiuUONB0Mha9VS,The Locomotion,Little Eva,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00023; ordered title reference: https://open.spotify.com/track/5xzdDMhFYiuUONB0Mha9VS; printed-year evidence: not available,1962,1992,musicbrainz_candidate_differs
24,00024,https://hitstergame.com/uk/aaaa0005/00024,https://hitstergame.com/au/aaah0001/00024,2010,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1QesQ27kCWYTYuXJi8SApS,aaah0001,1QesQ27kCWYTYuXJi8SApS,1QesQ27kCWYTYuXJi8SApS,Wait so Long,Trampled by Turtles,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00024; ordered title reference: https://open.spotify.com/track/1QesQ27kCWYTYuXJi8SApS; printed-year evidence: not available,2010,2010,none
25,00025,https://hitstergame.com/uk/aaaa0005/00025,https://hitstergame.com/au/aaah0001/00025,1994,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,3nK2qGHdVAEOuVAmMSWQPW,aaah0001,3nK2qGHdVAEOuVAmMSWQPW,3nK2qGHdVAEOuVAmMSWQPW,Cigarettes & Alcohol,Oasis,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00025; ordered title reference: https://open.spotify.com/track/3nK2qGHdVAEOuVAmMSWQPW; printed-year evidence: not available,1994,1993,musicbrainz_candidate_differs
26,00026,https://hitstergame.com/uk/aaaa0005/00026,https://hitstergame.com/au/aaah0001/00026,1995,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,6vcdzohhBSbNdsZBh5IRpQ,aaah0001,6vcdzohhBSbNdsZBh5IRpQ,6vcdzohhBSbNdsZBh5IRpQ,Back for Good - Radio Mix,Take That,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00026; ordered title reference: https://open.spotify.com/track/6vcdzohhBSbNdsZBh5IRpQ; printed-year evidence: not available,1995,1994,musicbrainz_candidate_differs
27,00027,https://hitstergame.com/uk/aaaa0005/00027,https://hitstergame.com/au/aaah0001/00027,2016,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,6fujklziTHa8uoM5OQSfIo,aaah0001,6fujklziTHa8uoM5OQSfIo,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00027; ordered title reference: https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo; printed-year evidence: not available,2016,,musicbrainz_candidate_unresolved
28,00028,https://hitstergame.com/uk/aaaa0005/00028,https://hitstergame.com/au/aaah0001/00028,1981,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,3L7RtEcu1Hw3OXrpnthngx,aaah0001,3L7RtEcu1Hw3OXrpnthngx,3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00028; ordered title reference: https://open.spotify.com/track/3L7RtEcu1Hw3OXrpnthngx; printed-year evidence: not available,1981,1981,none
29,00029,https://hitstergame.com/uk/aaaa0005/00029,https://hitstergame.com/au/aaah0001/00029,2003,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,3dPQuX8Gs42Y7b454ybpMR,aaah0001,3dPQuX8Gs42Y7b454ybpMR,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00029; ordered title reference: https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR; printed-year evidence: not available,2003,2003,none
30,00030,https://hitstergame.com/uk/aaaa0005/00030,https://hitstergame.com/au/aaah0001/00030,1976,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,1QEEqeFIZktqIpPI4jSVSF,aaah0001,1QEEqeFIZktqIpPI4jSVSF,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00030; ordered title reference: https://open.spotify.com/track/1QEEqeFIZktqIpPI4jSVSF; printed-year evidence: not available,1976,1982,musicbrainz_candidate_differs
31,00031,https://hitstergame.com/uk/aaaa0005/00031,https://hitstergame.com/au/aaah0001/00031,2007,,unresolved,no,unresolved_missing_physical_card_back_year,aaaa0005,66TRwr5uJwPt15mfFkzhbi,aaah0001,66TRwr5uJwPt15mfFkzhbi,66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),Soulja Boy,high,identity only: https://stgroupprdhitster.blob.core.windows.net/hitster-assets/gameset_database.json sku=aaaa0005 card=00031; ordered title reference: https://open.spotify.com/track/66TRwr5uJwPt15mfFkzhbi; printed-year evidence: not available,2007,2007,none
